id,l1_code,l1_name,l1_name_en,l2_code,l2_name,l2_name_en,l3_code,l3_name,l3_name_en,natural_accounting_class,classification_code,full_code,cap_threshold,cap_threshold_large_entity,useful_life_min,useful_life_max
cls_04050303,04,المباني غير السكنية,Non-residential Buildings,05,مباني التعليم ومراكز البحوث الدائمة,Permanent Educational Buildings & Research Centers,03,الأبنية التعليمية الدائمة ومراكز البحوث - هيكل البناء,Permanent Educational Buildings & Research Centers - Structure,03,040503,04050303,,,40,50
cls_04050304,04,المباني غير السكنية,Non-residential Buildings,05,مباني التعليم ومراكز البحوث الدائمة,Permanent Educational Buildings & Research Centers,03,الأبنية التعليمية الدائمة ومراكز البحوث - هيكل البناء,Permanent Educational Buildings & Research Centers - Structure,04,040503,04050304,,,40,50
cls_04050401,04,المباني غير السكنية,Non-residential Buildings,05,مباني التعليم ومراكز البحوث الدائمة,Permanent Educational Buildings & Research Centers,04,الأبنية التعليمية الدائمة ومراكز البحوث - وحدة,Permanent Educational Buildings & Research Centers Unit,01,040504,04050401,,,40,50
cls_04050403,04,المباني غير السكنية,Non-residential Buildings,05,مباني التعليم ومراكز البحوث الدائمة,Permanent Educational Buildings & Research Centers,04,الأبنية التعليمية الدائمة ومراكز البحوث - وحدة,Permanent Educational Buildings & Research Centers Unit,03,040504,04050403,,,40,50
cls_04050404,04,المباني غير السكنية,Non-residential Buildings,05,مباني التعليم ومراكز البحوث الدائمة,Permanent Educational Buildings & Research Centers,04,الأبنية التعليمية الدائمة ومراكز البحوث - وحدة,Permanent Educational Buildings & Research Centers Unit,04,040504,04050404,,,40,50
cls_04060101,04,المباني غير السكنية,Non-residential Buildings,06,مباني الرعاية الصحية الدائمة,Permanent Health Care Buildings,01,مباني الرعاية الصحية الدائمة - تشطيبات,Permanent Health Care Buildings - Interior,01,040601,04060101,,,15,25
cls_04060103,04,المباني غير السكنية,Non-residential Buildings,06,مباني الرعاية الصحية الدائمة,Permanent Health Care Buildings,01,مباني الرعاية الصحية الدائمة - تشطيبات,Permanent Health Care Buildings - Interior,03,040601,04060103,,,15,25
cls_04060104,04,المباني غير السكنية,Non-residential Buildings,06,مباني الرعاية الصحية الدائمة,Permanent Health Care Buildings,01,مباني الرعاية الصحية الدائمة - تشطيبات,Permanent Health Care Buildings - Interior,04,040601,04060104,,,15,25
cls_04060201,04,المباني غير السكنية,Non-residential Buildings,06,مباني الرعاية الصحية الدائمة,Permanent Health Care Buildings,02,مباني الرعاية الصحية الدائمة - خدمات,Permanent Health Care Buildings - Services,01,040602,04060201,,,20,30
cls_04060203,04,المباني غير السكنية,Non-residential Buildings,06,مباني الرعاية الصحية الدائمة,Permanent Health Care Buildings,02,مباني الرعاية الصحية الدائمة - خدمات,Permanent Health Care Buildings - Services,03,040602,04060203,,,20,30
cls_04060204,04,المباني غير السكنية,Non-residential Buildings,06,مباني الرعاية الصحية الدائمة,Permanent Health Care Buildings,02,مباني الرعاية الصحية الدائمة - خدمات,Permanent Health Care Buildings - Services,04,040602,04060204,,,20,30
cls_04060301,04,المباني غير السكنية,Non-residential Buildings,06,مباني الرعاية الصحية الدائمة,Permanent Health Care Buildings,03,مباني الرعاية الصحية الدائمة - هيكل البناء,Permanent Health Care Buildings - Structure,01,040603,04060301,,,40,50
cls_04060303,04,المباني غير السكنية,Non-residential Buildings,06,مباني الرعاية الصحية الدائمة,Permanent Health Care Buildings,03,مباني الرعاية الصحية الدائمة - هيكل البناء,Permanent Health Care Buildings - Structure,03,040603,04060303,,,40,50
cls_04060304,04,المباني غير السكنية,Non-residential Buildings,06,مباني الرعاية الصحية الدائمة,Permanent Health Care Buildings,03,مباني الرعاية الصحية الدائمة - هيكل البناء,Permanent Health Care Buildings - Structure,04,040603,04060304,,,40,50
cls_04060401,04,المباني غير السكنية,Non-residential Buildings,06,مباني الرعاية الصحية الدائمة,Permanent Health Care Buildings,04,مباني الرعاية الصحية الدائمة - وحدة,Permanent Health Care Buildings Unit,01,040604,04060401,,,30,50
cls_04060403,04,المباني غير السكنية,Non-residential Buildings,06,مباني الرعاية الصحية الدائمة,Permanent Health Care Buildings,04,مباني الرعاية الصحية الدائمة - وحدة,Permanent Health Care Buildings Unit,03,040604,04060403,,,30,50
cls_04060404,04,المباني غير السكنية,Non-residential Buildings,06,مباني الرعاية الصحية الدائمة,Permanent Health Care Buildings,04,مباني الرعاية الصحية الدائمة - وحدة,Permanent Health Care Buildings Unit,04,040604,04060404,,,30,50
cls_04070101,04,المباني غير السكنية,Non-residential Buildings,07,المباني الصناعية الدائمة,Permanent Industrial Buildings,01,المباني الصناعية الدائمة - خدمات,Permanent Industrial Buildings - Services,01,040701,04070101,,,20,30
cls_04070103,04,المباني غير السكنية,Non-residential Buildings,07,المباني الصناعية الدائمة,Permanent Industrial Buildings,01,المباني الصناعية الدائمة - خدمات,Permanent Industrial Buildings - Services,03,040701,04070103,,,20,30
cls_04070104,04,المباني غير السكنية,Non-residential Buildings,07,المباني الصناعية الدائمة,Permanent Industrial Buildings,01,المباني الصناعية الدائمة - خدمات,Permanent Industrial Buildings - Services,04,040701,04070104,,,20,30
